timeslot,Seattle (OR),Cheyenne (WY),Chicago (PJM),New York (NY),Kansas City (KS),Berkeley County (SC)
294,120.94,875.08,457.79,343.52,597.89,511.68
295,143.87,885.85,448.88,340.03,613.01,510.76
296,179.72,882.21,442.52,335.4,611.91,508.89
297,187.16,877.98,439.56,335.37,609.73,503.73
298,193.78,875.83,436.89,336.2,616.54,499.59
299,196.82,885.76,431.61,349.29,620.02,481.21
300,202.63,868.48,427.36,356.92,656.24,446.37
301,197.4,728.88,427.5,367.5,657.37,448.64
302,192.99,586.47,433.08,371.65,665.23,454.71
303,163.29,529.64,443.45,376.27,660.63,476.08
304,151.59,533.05,448.93,380.28,649.26,493.86
305,154.46,536.79,454.24,378.41,635.75,506.3
306,145.41,548.5,454.48,378.86,626.84,510.8
307,124.48,547.56,454.74,375.44,626.04,509.28
308,128.14,542.54,460.22,373.06,620.25,511.26
309,134.59,545.33,466.8,363.24,615.14,514.16
310,126.07,545.83,472.58,357.56,603.07,524.51
311,74.62,561.48,479.04,361.96,602.64,543.43
312,64.39,611.03,484.43,370.56,613.28,552.36
313,55.52,663.05,492.39,374.71,617.55,555.09
314,58.04,713.53,495.48,380.97,621.71,556.51
315,71.36,699.71,492.33,383.84,637.72,544.78
316,77.8,702.59,486.63,373.82,647.74,525.16
317,103.9,704.44,483.89,369.87,653.47,517.93
318,123.14,720.57,473.33,358.54,653.98,516.42
319,152.12,760.34,461.96,353.01,651.77,507.96
320,179.0,779.29,456.97,353.35,655.08,503.43
321,176.38,813.02,460.72,358.42,658.49,512.3
322,176.85,843.9,472.55,371.81,681.31,519.54
323,179.32,860.47,473.41,372.14,679.2,516.27
324,150.31,859.02,467.91,380.36,687.18,499.36
325,148.8,747.07,461.88,386.87,692.85,498.53
326,148.19,659.99,462.14,387.88,683.54,510.73
327,135.9,603.45,463.05,388.04,675.62,527.76
328,126.75,600.1,462.58,390.81,671.21,532.1
329,119.73,590.12,460.35,390.69,672.3,531.23
330,119.34,568.95,462.36,388.81,673.87,527.93
331,116.05,568.89,466.39,387.06,677.16,524.06
332,115.18,546.03,470.36,387.51,678.46,525.04
333,112.9,532.42,476.28,385.52,674.55,527.34
334,94.18,557.79,481.03,386.12,670.86,530.25
335,64.52,583.54,491.24,382.12,660.11,540.3
336,60.2,594.72,501.45,376.21,665.99,551.07
337,62.37,641.1,510.12,384.12,685.54,561.08
338,82.08,690.93,510.98,392.22,654.0,565.28
339,100.81,669.26,506.92,389.72,619.22,561.76
340,111.37,709.44,496.12,382.5,620.07,559.1
341,119.16,685.22,480.73,375.09,577.91,537.92
342,129.0,690.77,468.13,360.56,571.59,527.52
343,182.25,705.47,457.84,347.78,555.55,521.57
344,196.92,773.33,452.5,347.42,547.1,519.23
345,206.4,784.45,455.14,358.02,557.68,518.62
346,220.01,786.37,461.98,365.45,582.97,519.19
347,222.97,793.73,464.5,371.97,620.21,516.75
348,214.9,783.41,458.22,377.8,661.09,500.72
349,194.52,708.01,457.11,385.59,696.94,504.85
350,190.47,568.47,463.07,393.25,696.3,524.62
351,184.9,528.06,468.23,395.66,683.15,531.56
352,177.06,521.76,469.81,392.37,681.12,526.26
353,170.28,487.79,475.69,387.55,673.89,524.0
354,162.52,495.52,478.96,384.04,673.22,513.74
355,136.21,480.76,478.58,380.73,670.4,505.74
356,128.56,532.35,477.15,381.63,674.04,508.4
357,114.25,540.48,486.29,384.26,670.97,516.44
358,112.34,548.98,494.67,386.68,660.85,518.1
359,82.22,606.56,503.55,381.8,658.72,523.43
360,74.1,614.73,509.62,372.09,647.08,539.43
361,73.76,654.18,507.2,371.37,630.27,546.81
362,76.24,737.21,510.66,386.26,607.7,548.13
363,82.0,710.16,510.91,401.04,581.15,546.91
